الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
عثمان إسماعيل,2024-2025,نظام التحكم بالماوس عن طریق تتبع العین والأوامر الصوتیة باستخدام الذكاء الصنعي لذوي الاحتیاجات الخاصة,"يتيح  هذا المشروع الأشخاص الذين يعانون من مشاكل في الحركة في تحسين التواصل بشكل اسهل واكثر فعالية من خلال استخدام حركة العين للتحكم بالماوس وإعطاء الأوامر الصوتية ,وإمكانية الوصول الى التكنولوجيا والاستفادة منها ,ما يمكن استثمارها لتحسين وتسهيل مهامهم اليومية مما يؤدي ذلك على دمج الأشخاص الذين يعانون من مشاكل في الحركة في المجتمع بشكل فعال ويتيح لهم الحصول على فرص عمل من خلال التكنولوجيا"
جميلة إبراهيم,2024-2025,لعبة تفاعلية باستخدام الواقع المعزز,"لعبة مبتكرة تدمج بين العالم الحقيقي والعناصر االافتراضية. تحول أي مساحة إلى ساحة لعب تفاعلية مليئة بالأهداف االفتراضية,لعبة تفاعلية تعتمد على الواقع المعزز ( AR)، حيث يقوم اللاعب برمي كرات افتراضية على أهداف تظهر في بيئته 
الحقيقية عبر كاميرا الهاتف"
ديمة مفتي الشوافعة,2024-2025,التعرف على أمراض الأشجار المثمرة باستخدام الذكاء الاصطناعي,"تطبيق ذكي يعتمد على تقنيات الذكاء االاصطناعي لاكتشاف وتشخيص أمراض الأشجار 
باستخدام الشبكات العصبية التلافيفية (CNN )يتيح التطبيق للمزارعين والمهتمين بالزراعة 
رفع صور لألوراق أو أجزاء الاشجار المصابة، ليقوم الذكاء االصطناعي بتحليلها وتحديد 
المرض المحتمل. باالاضافة إلى ذلك، يوفر التطبيق معلومات مفصلة عن المرض، مثل أسبابه، 
وطرق علاجه، والاجراءات الوقائية. كما يقترح التطبيق مهندسين زراعيين متخصصين يمكن 
للمستخدم التواصل معهم للحصول على استشارات متقدمة."
عثمان إسماعيل,2024-2025,تصنيف أمراض الجلد باستخدام التعلم العميق,يهدف المشروع لبناء تطبيق أجهزة محمولة مزود بنموذج ذكاء صنعي للتعّرف والكشف عن األمراض الجلديّة لمساعدة النّاس في الكشف عن الأمراض مبكرا والوقاية منها. ً في خدمة البشريّة وذلك من خلال تبليغ الأشخاص مستخدمي عن احتماليّة إصابتهم بالمرض لاتخاذ إجراءات استباقية مناسبة للوقاية من المرض أو علاجه.
ديمة مفتي الشوافعة,2024-2025,منصة لتعلم  اللغات الأجنبية,"المنصة تهدف إلى تمكين المستخدمين من استخدام اللغة بثقة في سياقات يومية مثل: السفر (حجز الفنادق، التعامل في المطارات). والعمل (المقابلات، التواصل المهني )والحياة اليومية (زيارة الطبيب، التعامل مع السلطات)و التفاعل االجتماعي (العبارات الشائعة حسب الثقافة المحلية)."
ديمة مفتي الشوافعة,2024-2025,موقع لتصميم الدارات الكهربائية,"يهدف هذا المشروع إلى تطوير منصة تعليمية متكاملة ومبتكرة لطلاب الهندسة الكهربائية واإلالكترونية تحمل اسم فولتيرا. تتمحور الفكرة الأساسية حول توفير بيئة تفاعلية لتصميم ومحاكاة الدارات الكهربائية والالكترونية، مما يتيح للمستخدمين بناء الدارات افتراضيًا واختبارها وتحليل سلوكها بدقة قبل أي تطبيق عملي"
ديمة مفتي الشوافعة,2024-2025,التعلم التكيفي,"بناء منصة تعليمية تكيفية لتعزيز مهارات الطالب في مادة الرياضيات، من خلال نظام ذكي يقدم مسائل 
رياضية مخصصة بنا ًء على احتياجات الطالب الفردية. يعتمد النظام على تقنيات معالجة اللغة الطبيعية 
وتتبع المعرفة لتشخيص نقاط الضعف، وتوليد مسائل مالائمة، وتتبع تقدم الطالب."
اياد هلالي,2024-2025,تشخيص الامراض الصدرية عن طريق الصور الشعاعية للصدر باستخدام الذكاء الاصطناعي," يهدف هذا المشروع إلى تطوير نظام ذكي لتشخيص الأمراض الصدرية(الرئة) ا عتمادا على تحليل صور الأشعة السينية باستخدام تقنيات الذكاء الصناعي، بهدف تسريع ودقة التشخيص، خصوصا في المناطق التي تعاني من 
نقص في الكوادر الطبية. يعتمد النظام على نموذج التعلم العميق 16VGG، وهو من أشهر نماذج الشبكات 
العصبية لجداء الطي (CNN)في تصنيف الصور الطبية"
أحمد بليد,2024-2025,نظام حماية ملكية باستخدام الذكاء الاصطناعي عن طريق  كاميرا,"يهدف هذا المشروع إلى تصميم نظام حماية ذكي يعمل على تأمين الملكيات الخاصة باستخدام كاميرا مراقبة مثبتة 
عند مداخل الملكية. يعتمد النظام على تقنية التعرف على الوجوه، حيث يتم التعرف بشكل آلي على الاشخاص 
المصرح لهم بالدخول، في حال محاولة دخول شخص غير مصرح له، يقوم النظام بالتقاط صورة له وحفظها في 
قاعدة بيانات محلية، إلى جانب إرسال إشعار فوري إلى تطبيق موبايل خاص بالمستخدم"
أحمد بليد,2024-2025,موقع ويب لبيع وشراء العقارات,"يهدف المشروع الى انشاء منصة الكترونية متخصصة في عرض العقارات (بيع-ايجار)داخل سوريا,حيثيسمح الموقع للمستخدمين  بتصفح العقارات بناء على تصنيفات متعددة مع إمكانية تصفية النتائج حسب المحافظة ,عدد الغرف,المساحة,السعر,والموقع الجغرافي على الخريطة كما يوفر صفحة تفاصيل لكل عقار مع صور متعددة ومعلومات دقيقة عنه بالاضافة الى لوحة تحكم متكاملة لادارة العقارات وتوليد رمز QRلكل عقار لتسهيل الوصول الى تفاصيله بسرعة"
اياد هلالي,2024-2025,تصميم تطبيق موقع لأتمتة أسئلة المواد الجامعية,"تطوير تطبيق برمجي يقوم بإنشاء نماذج امتحانات متنوعة وعشوائية مع مراعاة مستويات الصعوبة وأنواع الاسئلة (اختيار من متعدد، صح أو خطأ، مسائل تحتوي على عدة أسئلة). يهدف النظام إلى تسهيل عملية إعداد االامتحانات وتنويعها. في هذا التطبيق يتم استهداف الدكاترة واالاستاذة في الجامعات."
اياد هلالي,2024-2025,متجر الكتروني لبيع الأثاث المنزلي يدعم الواقع المعزز والذكاء الاصطناعي,يهدف هذا المشروع إلى تطوير تطبيق مخصص لبيع االأثاث يعتمد على تقنيات حديثة لتحسين تجربة اللمستخدم  وتسهيل عملية التسوق و واتخاذ القرار الشرائي.
اياد هلالي,2024-2025,تصميم وتنفيذ لعبة هادفة,"تطوير لعبة تعليمية ثلاثية الأبعاد تمزج بين الترفيه والمحتوى الأكاديمي. تستهدف اللعبة فئات متعددة من المتعلمين، منها من ال يمتلك أي خلفية برمجية، ومنها من سبق له أن تعلم البرمجة بطريقة غير منهجية، مما تسبب له بصعوبات في االاستيعاب أو التطبيق."
أحمد بليد,2024-2025,نظام كشف الاحتيالات في المزادات الالكترونية باستخدام الذكاء الاصطناعي,"يقوم النظام بجمع وتحليل بيانات التفاعل داخل المزاد بهدف اكتشاف
الأنماط المشبوهة مثل المزايدات الوهمية أو التلاعب بالأسعار، ومن ثم إصدار تنبيهات فورية
لمسؤولي النظام عند رصد أي نشاط غير طبيعي. كما يتضمن المشروع إنشاء لوحة تحكم تفاعلية
تساعد في مراقبة الأنشطة واتخاذ الاجراءات اللازمة، مما يسهم في تحسين أمان المنصة وزيادة
موثوقيتها لدى المستخدمين"
اياد هلالي,2024-2025,توليد وكشف الأصوات المزيفة باستخدام الذكاء الاصطناعي,"يهدف هذا المشروع إلى تصميم نظام قادر على كشف الأصوات المزيفة والتمييز بينها وبين الأصوات  الحقيقية، مع القدرة على تحديد نوع التزييف المستخدم ,سواء كان ناتجا عن تعديل النبرة ، أو الايقاع ، أو استخدام نموذج توليدي مثل MelGAN، GAN-HiFi، وغيرها."
أحمد بليد,2024-2025,مشروع موقع معلومات عن حلب,تطبيق لتقنيات الويب الحديثة للحفاظ على الثقافة وتعزيز السياحة مما يخلق منصةرقمية مستدامة تفيد الزوار والمجتمعات المحلية والنظام البيئي السياحي الأوسع مع الحفاظ على التراث الثقافي الغني لواحدة من أقدم المدن المؤهلةباستمرار في العالم
أحمد بليد,2024-2025,موقع ويب لخسارة الوزن,"الهدف الأساسي من هذا الموقع هو مساعدة المستخدمين على الوصول إلى وزن صحي ومثالي بطريقة علمية، مخصصة ، وآمنة، من خالل توفير أدوات ذكية وتوصيات مدروسة تتناسب مع الحالة الصحية والبدنية لكل مستخدم ."
سوسن اسجيع -محمود  شعار,2024-2025,تطبيق ويب لادارة جمع التبرعات للعمليات الجراحية,"يهدف مشروع تطبيق ويب لجمع التبرعات للعمليات الجراحية الى توفير منصة رقمية تتيح للمرضى المحتاجين للعالج عرض حاالتهم الصحية بطريقة شفافة، حيث يمكن للمتبرعين الاطلاع على التفاصيل الطبية والتكلفة المطلوبة للمساعدة في تغطية نفقات العمليات الجراحية"
محمود رحال,2024-2025,الكشف عن أورام الدماغ باستخدام الذكاء الاصطناعي,"هو إنشاء موقع ويب للكشف عن أورام الدماغ باستخدام خوارزمية الذكاء الصنعي(CNN)حيث تم التدريب على عدة صور لكل مجموعة من الأورام وتم إجراء عملية االاختبار وتقييم دقة النتائج، وتساعد على اكتشاف الورم المطلوب واستخدمنا تقنية معالجة الصورة التي تهتم بإجراء عمليات على الصور بهدف تحسينها ويمكن استخدام هذا المشروع في تحسين الكشف وتشخيص أورام الدماغ بطريقة أكثر دقة وسرعة باستخدام الذكاء االصطناعي."
